objeto,tipo,capa,dominio,grupo,materializacion,relacion,contrato_enforced,tiene_descripcion,columnas,columnas_con_descripcion,tests,tests_pass,tests_warn,tests_fail,n_upstream,n_downstream,n_downstream_transitivo,dashboards_impactados,sistemas_origen,upstream,downstream,archivo
dim_canal,model,marts,core,core,table,marts.dim_canal,no,sí,3,1,6,6,0,0,4,5,21,01 03 05 06 07 08 09 10,ads crm erp pos,stg_ads__marketing_gasto stg_crm__cliente stg_erp__factura_linea stg_pos__pedido_linea,fct_factura fct_marketing_gasto fct_pedido int_canal_mes_metricas rpt_marketing_canales,models/marts/core/dim_canal.sql
dim_cliente,model,marts,core,core,table,marts.dim_cliente,no,sí,12,3,10,10,0,0,2,13,29,01 03 04 05 06 07 08 09 10 12,crm,dim_region stg_crm__cliente,fct_cancelacion fct_cliente_features_churn fct_encuesta_nps fct_evento_actividad fct_factura fct_pedido fct_suscripcion_cargo fct_ticket_soporte int_canal_mes_metricas rpt_clientes_churn rpt_facturas rpt_kpi_historico rpt_transacciones_ejecutivo,models/marts/core/dim_cliente.sql
dim_equipo,model,marts,core,core,table,marts.dim_equipo,no,sí,3,0,6,6,0,0,1,3,21,01 02 03 05 06 07 09 10,crm,stg_crm__equipo,dim_vendedor fct_meta_venta rpt_metas_mensuales,models/marts/core/dim_equipo.sql
dim_fecha,model,marts,core,core,table,marts.dim_fecha,no,sí,11,1,4,4,0,0,0,5,13,02 03 06 07 09,,,dim_mes dim_semana fct_producto_elasticidad fct_producto_forecast rpt_demanda_diaria,models/marts/core/dim_fecha.sql
dim_kpi,model,marts,core,core,table,marts.dim_kpi,no,sí,6,0,5,5,0,0,1,4,4,03,scorecard,stg_scorecard__kpi_captura_manual,fct_kpi_manual fct_kpi_meta rpt_kpi_historico rpt_scorecard,models/marts/core/dim_kpi.sql
dim_mes,model,marts,core,core,table,marts.dim_mes,no,sí,4,0,3,3,0,0,1,3,5,03 09,,dim_fecha,int_canal_mes_metricas rpt_kpi_historico rpt_marketing_canales,models/marts/core/dim_mes.sql
dim_producto,model,marts,core,core,table,marts.dim_producto,no,sí,9,2,8,8,0,0,1,9,21,01 03 05 06 07 08 09 10,erp,int_producto_depurado,fct_factura fct_inventario_snapshot fct_pedido fct_producto_forecast fct_subcategoria_tendencia rpt_demanda_diaria rpt_inventario_actual rpt_precio_demanda rpt_transacciones_ejecutivo,models/marts/core/dim_producto.sql
dim_region,model,marts,core,core,table,marts.dim_region,no,sí,2,0,4,4,0,0,1,2,30,01 03 04 05 06 07 08 09 10 12,crm,stg_crm__cliente,dim_cliente rpt_transacciones_ejecutivo,models/marts/core/dim_region.sql
dim_semana,model,marts,core,core,table,marts.dim_semana,no,sí,5,0,5,5,0,0,1,2,2,02 06,,dim_fecha,rpt_funnel_semanal rpt_precio_demanda,models/marts/core/dim_semana.sql
dim_sucursal,model,marts,core,core,table,marts.dim_sucursal,no,sí,3,1,4,4,0,0,3,4,6,03 11,sucursales,stg_sucursales__cdmx stg_sucursales__guadalajara stg_sucursales__monterrey,fct_venta_sucursal fct_venta_sucursal_pendiente_revision rpt_fuente_unica rpt_revision_manual_monto_faltante,models/marts/core/dim_sucursal.sql
dim_vendedor,model,marts,core,core,table,marts.dim_vendedor,no,sí,6,1,7,7,0,0,2,3,18,01 02 03 05 06 07 09 10,crm,dim_equipo stg_crm__vendedor,fct_oportunidad_evento fct_pedido rpt_ventas_diarias,models/marts/core/dim_vendedor.sql
fct_cliente_pago_segmento,model,marts,finanzas,finanzas,table,marts.fct_cliente_pago_segmento,no,sí,3,0,6,6,0,0,2,0,0,,ads crm erp pos,fct_factura fct_pago,,models/marts/finanzas/fct_cliente_pago_segmento.sql
fct_factura,model,marts,finanzas,finanzas,table,marts.fct_factura,no,sí,10,2,13,13,0,0,4,3,3,08,ads crm erp pos,dim_canal dim_cliente dim_producto int_factura_linea_validada,fct_cliente_pago_segmento fct_pago rpt_facturas,models/marts/finanzas/fct_factura.sql
fct_pago,model,marts,finanzas,finanzas,table,marts.fct_pago,no,sí,6,0,7,7,0,0,2,2,2,08,ads crm erp pos,fct_factura stg_erp__pago,fct_cliente_pago_segmento rpt_facturas,models/marts/finanzas/fct_pago.sql
fct_suscripcion_cargo,model,marts,finanzas,finanzas,table,marts.fct_suscripcion_cargo,no,sí,3,0,7,7,0,0,2,1,3,04,crm erp,dim_cliente stg_erp__suscripcion_cargo,fct_cliente_features_churn,models/marts/finanzas/fct_suscripcion_cargo.sql
fct_inventario_snapshot,model,marts,inventario,inventario,table,marts.fct_inventario_snapshot,no,sí,4,0,6,6,0,0,2,2,2,07,erp wms,dim_producto stg_wms__inventario_snapshot,fct_producto_forecast rpt_inventario_actual,models/marts/inventario/fct_inventario_snapshot.sql
fct_producto_forecast,model,marts,inventario,inventario,table,marts.fct_producto_forecast,no,sí,9,0,10,10,0,0,4,1,1,07,ads crm erp pos wms,dim_fecha dim_producto fct_inventario_snapshot fct_pedido,rpt_inventario_actual,models/marts/inventario/fct_producto_forecast.sql
fct_canal_roi,model,marts,marketing,marketing,table,marts.fct_canal_roi,no,sí,7,0,12,12,0,0,1,0,0,,ads crm erp pos,int_canal_mes_metricas,,models/marts/marketing/fct_canal_roi.sql
fct_marketing_gasto,model,marts,marketing,marketing,table,marts.fct_marketing_gasto,no,sí,3,0,7,7,0,0,2,1,3,09,ads crm erp pos,dim_canal stg_ads__marketing_gasto,int_canal_mes_metricas,models/marts/marketing/fct_marketing_gasto.sql
fct_kpi_manual,model,marts,scorecard,scorecard,table,marts.fct_kpi_manual,no,sí,3,0,6,6,0,0,2,1,2,03,scorecard,dim_kpi stg_scorecard__kpi_captura_manual,rpt_kpi_historico,models/marts/scorecard/fct_kpi_manual.sql
fct_kpi_meta,model,marts,scorecard,scorecard,table,marts.fct_kpi_meta,no,sí,2,0,4,4,0,0,2,1,1,03,scorecard,dim_kpi stg_scorecard__kpi_meta,rpt_scorecard,models/marts/scorecard/fct_kpi_meta.sql
fct_venta_sucursal,model,marts,sucursales,sucursales,table,marts.fct_venta_sucursal,no,sí,6,0,6,6,0,0,2,2,3,03 11,sucursales,dim_sucursal int_ventas_sucursal_unificada,rpt_fuente_unica rpt_kpi_historico,models/marts/sucursales/fct_venta_sucursal.sql
fct_venta_sucursal_pendiente_revision,model,marts,sucursales,sucursales,table,marts.fct_venta_sucursal_pendiente_revision,no,sí,5,0,5,5,0,0,2,1,1,11,sucursales,dim_sucursal int_ventas_sucursal_pendiente,rpt_revision_manual_monto_faltante,models/marts/sucursales/fct_venta_sucursal_pendiente_revision.sql
fct_cliente_rfm_score,model,marts,ventas,ventas,table,marts.fct_cliente_rfm_score,no,sí,6,0,8,8,0,0,1,0,0,,ads crm erp pos,fct_pedido,,models/marts/ventas/fct_cliente_rfm_score.sql
fct_meta_venta,model,marts,ventas,ventas,table,marts.fct_meta_venta,no,sí,2,0,5,5,0,0,2,1,1,01,crm,dim_equipo stg_crm__meta_venta,rpt_metas_mensuales,models/marts/ventas/fct_meta_venta.sql
fct_oportunidad_evento,model,marts,ventas,ventas,table,marts.fct_oportunidad_evento,no,sí,6,0,6,6,0,0,2,1,1,02,crm,dim_vendedor stg_crm__oportunidad_evento,rpt_funnel_semanal,models/marts/ventas/fct_oportunidad_evento.sql
fct_pedido,model,marts,ventas,ventas,incremental,marts.fct_pedido,no,sí,18,2,15,15,0,0,5,11,15,01 03 05 06 07 09 10,ads crm erp pos,dim_canal dim_cliente dim_producto dim_vendedor int_pedidos_enriquecidos,fct_cliente_rfm_score fct_producto_elasticidad fct_producto_forecast fct_subcategoria_tendencia int_canal_mes_metricas rpt_demanda_diaria rpt_kpi_historico rpt_precio_demanda rpt_transacciones rpt_transacciones_ejecutivo rpt_ventas_diarias,models/marts/ventas/fct_pedido.sql
fct_producto_elasticidad,model,marts,ventas,ventas,table,marts.fct_producto_elasticidad,no,sí,6,0,6,6,0,0,2,0,0,,ads crm erp pos,dim_fecha fct_pedido,,models/marts/ventas/fct_producto_elasticidad.sql
fct_subcategoria_tendencia,model,marts,ventas,ventas,table,marts.fct_subcategoria_tendencia,no,sí,8,0,6,6,0,0,2,0,0,,ads crm erp pos,dim_producto fct_pedido,,models/marts/ventas/fct_subcategoria_tendencia.sql
batch_ingesta,model,meta,calidad,,incremental,meta.batch_ingesta,no,sí,4,0,5,5,0,0,0,1,6,13,,,dq_resultado_regla,models/meta/batch_ingesta.sql
dq_plan_remediacion,model,meta,calidad,,incremental,meta.dq_plan_remediacion,no,sí,10,0,8,8,0,0,2,1,1,13,crm erp,dq_regla dq_resultado_regla,rpt_plan_remediacion,models/meta/dq_plan_remediacion.sql
dq_regla,model,meta,calidad,,table,meta.dq_regla,no,sí,11,0,9,9,0,0,4,6,6,13,crm erp,crm.crm_cliente erp.calendario erp.factura_linea erp.producto,dq_plan_remediacion dq_resultado_regla dq_scorecard_tabla rpt_plan_remediacion rpt_reglas_validacion rpt_scorecard_calidad_tablas,models/meta/dq_regla.sql
dq_resultado_regla,model,meta,calidad,,incremental,meta.dq_resultado_regla,no,sí,8,0,10,10,0,0,6,3,5,13,crm erp,batch_ingesta crm.crm_cliente dq_regla erp.calendario erp.factura_linea erp.producto,dq_plan_remediacion dq_scorecard_tabla rpt_reglas_validacion,models/meta/dq_resultado_regla.sql
dq_scorecard_tabla,model,meta,calidad,,incremental,meta.dq_scorecard_tabla,no,sí,11,0,7,7,0,0,6,3,3,13,crm erp,crm.crm_cliente dq_regla dq_resultado_regla erp.calendario erp.factura_linea erp.producto,rpt_plan_remediacion rpt_reglas_validacion rpt_scorecard_calidad_tablas,models/meta/dq_scorecard_tabla.sql
rpt_metas_mensuales,model,gold,ventas,01_ventas_por_equipo,table,gold.rpt_metas_mensuales,sí,sí,2,0,3,3,0,0,2,0,0,01,crm,dim_equipo fct_meta_venta,,models/gold/01_ventas_por_equipo/rpt_metas_mensuales.sql
rpt_ventas_diarias,model,gold,ventas,01_ventas_por_equipo,table,gold.rpt_ventas_diarias,sí,sí,5,0,4,4,0,0,2,0,0,01,ads crm erp pos,dim_vendedor fct_pedido,,models/gold/01_ventas_por_equipo/rpt_ventas_diarias.sql
rpt_funnel_semanal,model,gold,ventas,02_funnel_fuga,table,gold.rpt_funnel_semanal,sí,sí,6,0,4,4,0,0,2,0,0,02,crm,dim_semana fct_oportunidad_evento,,models/gold/02_funnel_fuga/rpt_funnel_semanal.sql
rpt_kpi_historico,model,gold,scorecard,03_scorecard,table,gold.rpt_kpi_historico,sí,sí,4,0,2,2,0,0,7,1,1,03,ads crm encuestas erp pos scorecard sucursales,dim_cliente dim_kpi dim_mes fct_encuesta_nps fct_kpi_manual fct_pedido fct_venta_sucursal,rpt_scorecard,models/gold/03_scorecard/rpt_kpi_historico.sql
rpt_scorecard,model,gold,scorecard,03_scorecard,table,gold.rpt_scorecard,sí,sí,7,0,5,5,0,0,3,0,0,03,ads crm encuestas erp pos scorecard sucursales,dim_kpi fct_kpi_meta rpt_kpi_historico,,models/gold/03_scorecard/rpt_scorecard.sql
rpt_clientes_churn,model,gold,cliente,04_churn,table,gold.rpt_clientes_churn,sí,sí,9,0,6,6,0,0,2,0,0,04,crm erp helpdesk producto_analytics,dim_cliente fct_cliente_features_churn,,models/gold/04_churn/rpt_clientes_churn.sql
rpt_transacciones,model,gold,cliente,05_rfm,table,gold.rpt_transacciones,sí,sí,3,0,3,3,0,0,1,0,0,05,ads crm erp pos,fct_pedido,,models/gold/05_rfm/rpt_transacciones.sql
rpt_precio_demanda,model,gold,ventas,06_elasticidad,table,gold.rpt_precio_demanda,sí,sí,4,0,5,5,0,0,3,0,0,06,ads crm erp pos,dim_producto dim_semana fct_pedido,,models/gold/06_elasticidad/rpt_precio_demanda.sql
